Landskode,Stadnamn engelsk,Landsnamn engelsk,Lenke til engelsk-XML
AD,Vila,Andorra,http://www.yr.no/place/Andorra/Encamp/Vila/forecast.xml
AD,Sornàs,Andorra,http://www.yr.no/place/Andorra/Ordino/Sornàs/forecast.xml
AD,Sispony,Andorra,http://www.yr.no/place/Andorra/la_Massana/Sispony/forecast.xml
AD,Segudet,Andorra,http://www.yr.no/place/Andorra/Ordino/Segudet/forecast.xml
AD,Sant Pere,Andorra,http://www.yr.no/place/Andorra/Canillo/Sant_Pere/forecast.xml
AD,Andorra la Vella,Andorra,http://www.yr.no/place/Andorra/Andorra_la_Vella/Andorra_la_Vella/forecast.xml
AD,Escaldes-Engordany,Andorra,http://www.yr.no/place/Andorra/Escaldes-Engordany/Escaldes-Engordany/forecast.xml
AD,Encamp,Andorra,http://www.yr.no/place/Andorra/Encamp/Encamp/forecast.xml
AD,Sant Julià de Lòria,Andorra,http://www.yr.no/place/Andorra/Sant_Julià_de_Lòria/Sant_Julià_de_Lòria/forecast.xml
AD,La Massana,Andorra,http://www.yr.no/place/Andorra/la_Massana/La_Massana/forecast.xml
AD,Canillo,Andorra,http://www.yr.no/place/Andorra/Canillo/Canillo/forecast.xml
AD,l'Aldosa,Andorra,http://www.yr.no/place/Andorra/Canillo/l'Aldosa/forecast.xml
AD,Canillo,Andorra,http://www.yr.no/place/Andorra/Canillo/Canillo/forecast.xml
AD,Encamp,Andorra,http://www.yr.no/place/Andorra/Encamp/Encamp/forecast.xml
AD,Encamp,Andorra,http://www.yr.no/place/Andorra/Encamp/Encamp/forecast.xml
AD,l'Aldosa,Andorra,http://www.yr.no/place/Andorra/la_Massana/l'Aldosa/forecast.xml
AD,La Massana,Andorra,http://www.yr.no/place/Andorra/la_Massana/La_Massana/forecast.xml
AD,Ordino,Andorra,http://www.yr.no/place/Andorra/Ordino/Ordino/forecast.xml
AD,Sant Julià de Lòria,Andorra,http://www.yr.no/place/Andorra/Sant_Julià_de_Lòria/Sant_Julià_de_Lòria/forecast.xml
AD,Andorra la Vella,Andorra,http://www.yr.no/place/Andorra/Andorra_la_Vella/Andorra_la_Vella/forecast.xml
